No.,Description,Quantity, Unit Price ,Item Category Code,Product Model
SBSH-2000/2,HOPPECKE 2000Ah 2V SEALED SOLAR BATTERY,0,150000,HOPPECKE,BATTERY
SP-3000,DAYLIFF OPTIVERTER DO3000 MULTIFUNCTION INVERTER,21,150000,OPTI,INVERTER
FSS-1D,GROUND STEEL SUPPORT STRUCTURE,0,150000,DAYLIFF,SOLAR FAB
DSD200/1,ULTRASUN UFS200D SOLAR HOT WATER TANK,3,149000,SUNRAIN,ACCESSORY
TANKTOWER,DAYLIFF GALV. SUNTOWER 2.4M 3000L,0,146000,FAB,SUPPORT ST
SMA-SI/9,SMA DATA MANAGER M POWERED BY ENNEXOS,0,145000,SMA,ACCESSORY
LC180D,LORENTZ PS1800 1.8kVA CONTROLLER,0,145000,LORENTZ,DC CONTROL
SPM3-1500C3,SUNFLO-X 1500C3 PAYGO PUMP KIT- ASSEMBLY ONLY,5,144000,DAYLIFF,SOLAR PUMP
SPM3-1500C8,SUNFLO-X 1500C8 PAYGO PUMP KIT-ASSEMBLY ONLY,15,144000,DAYLIFF,SOLAR PUMP
DEMO-DSKITS150,DEMO SUNFLO-S 150 SOLAR PUMPING SYSTEM,6,142000,DAYLIFF,DEMO
GD5000ES,DAYLIFF GROWATT 5000VA MULTIFUNCTION INVERTER C/W PARALLEL,51,142000,DAYLIFF,GROWATT
SUN2000-010KTL-LC0,HUAWEI SUN2000 10KTL-LC0 10KW 1PH SOLAR INVERTER,3,140000,HUAWEI,INVERTER
SUNTOWER 2.4M/3,DAYLIFF GALV. SUNTOWER 2.4M W/O 3000L PLASTIC TANK,0,140000,FAB,SUPPORT ST
SUNBARROW1000,DAYLIFF 1000W SUNBARROW,0,139000,DAYLIFF,SUNBARROW
SUN2000-005KTL-L1,HUAWEI SUN2000-5KTL-L1 5KW 1PH SOLAR INVERTER,8,138000,HUAWEI,INVERTER
SV3/037M,DAYLIFF SV3 3.7KW 1PH SUNVERTER,0,138000,DAYLIFF,SUNVERTER
SV4/030M,DAYLIFF SV4 3KW 1PH SUNVERTER,9,138000,DAYLIFF,SUNVERTER
LM012C,LORENTZ EC1800-C 1.7kVA MOTOR,0,134000,LORENTZ,DCMOTOR
ESD200/2,ULTRASUN UFX160I HOT WATER TANK,0,133000,BURAL,SHW
SV2/11T,DAYLIFF SV2 11KW 3PH SUNVERTER,0,133000,DAYLIFF,SUNVERTER
SPX800-5,SOLARPLEX SPX 800-5 0.8kW DC PUMP,29,130000,DAYLIFF,SOLAR PUMP
SV3/022M,DAYLIFF SV3 2.2KW 1PH SUNVERTER,0,130000,DAYLIFF,SUNVERTER
SV4/022M,DAYLIFF SV4 2.2KW 1PH SUNVERTER,26,130000,DAYLIFF,SUNVERTER
SV3/037T,DAYLIFF SV3 3.7KW 3PH SUNVERTER,86,129000,DAYLIFF,SUNVERTER
DSKIT08,DAYLIFF SUNFLO-B 120H1 SOLAR PUMPING SYSTEM,2,125000,DAYLIFF,SOLAR PUMP
SUNFLO-X1500C3,DAYLIFF SUNFLO-X 1500C3 1.5kW PUMP C/W CONTROLLER,1,124000,DAYLIFF,SOLAR PUMP
SUNFLO-X1500C8,DAYLIFF SUNFLO-X 1500C8 1.5kW PUMP C/W CONTROLLER,2,124000,DAYLIFF,SOLAR PUMP
SV3/015M,DAYLIFF SV3 1.5KW 1PH SUNVERTER,0,123000,DAYLIFF,SUNVERTER
SV4/015M,DAYLIFF SV4 1.5KW 1PH SUNVERTER,12,123000,DAYLIFF,SUNVERTER
PSW5500,VISPRA 5000VA 48VDC INVERTER,1,122000,VISPRA,BACKUP
UFS200I/1,ULTRASUN UFS200I SOLAR HOT WATER TANK,0,120000,SUNRAIN,ACCESSORY
SPM3-500,SUNFLO-X 500H1.6 PAYGO PUMP KIT-ASSEMBLY ONLY,15,120000,DAYLIFF,SOLAR PUMP
SUNFRIDGE128,DAYLIFF 128LITRES SUNFRIDGE,43,120000,DAYLIFF,SUNFRIDGE
IMPACT-SAMPLE01,IMPACT SOLARPLEX SPX-800,1,119000,ZMISC.,SAMPLE
DSKIT06,DAYLIFF SUNFLO-A 270H SOLAR PUMPING SYSTEM,14,118000,DAYLIFF,SOLAR PUMP
SUNFLEX-01A,SUNFLEX MOTOR 0.75KW,1,118000,DAYLIFF,SOLAR PUMP
SUNFLEX-01B,SUNFLEX MOTOR 1.1KW 1100C3,0,118000,DAYLIFF,SOLAR PUMP
SUNFLEX-01C,SUNFLEX MOTOR 1.5KW,1,118000,DAYLIFF,SOLAR PUMP
SUNFLEX-01D,SUNFLEX MOTOR 2.2KW,1,118000,DAYLIFF,SOLAR PUMP
DHFS300,DAYLIFF DHFS300 1.5KW IRRIGATION DC PUMP C/W CONTROLLER,12,116000,DAYLIFF,SOLAR PUMP
SPM3-1100,SUNFLO-X 1100C3 PAYGO PUMP KIT- ASSEMBLY ONLY,27,116000,DAYLIFF,SOLAR PUMP
CIU903,GRUNDFOS CIU 903 SQFLEX,0,116000,GRUNDFOS,SOLAR SP
SMA-SI/6,SUNNY HOME MANAGER,0,115000,SMA,ACCESSORY
GD5000TL,DAYLIFF GROWATT 5000VA MULTIFUNCTION INVERTER W/O PARALLEL,6,115000,DAYLIFF,GROWATT
DSKIT-S300,DAYLIFF SUNFLO-S 300 SOLAR PUMPING SYSTEM,14,114000,DAYLIFF,SOLAR PUMP
SUNFLO-X1100C3,DAYLIFF SUNFLO-X 1100C3 1.1kW PUMP C/W CONTROLLER,0,112000,DAYLIFF,SOLAR PUMP
05000TL-XE,DAYLIFF GROWATT 5KW 1PH GRID-TIE INVERTER,6,110000,DAYLIFF,GROWATT
DUV-5248P,DAYLIFF ULTRAVERTER 5.2KW 48V PRO MULTIFUNCTION INVERTER C/W  PARALLEL FUNCTION,226,110000,DAYLIFF,INVERTER
SUN2000-003KTL-L1,HUAWEI SUN2000 3KTL-L1 3.3KW 1PH SOLAR INVERTER,20,109000,HUAWEI,INVERTER
UFX200D,ULTRASUN UFX200D FLATPLATE SOLAR HOT WATER SYSTEM,0,109000,ERASLAN,SHW
SPM3-600,SUNFLO-X 600C2 PAYGO PUMP KIT-ASSEMBLY ONLY,38,108000,DAYLIFF,SOLAR PUMP
OPI-SPE030,OPTI SP EFECTO 3000 24VDC HYBRID INVERTER,1,106000,OPTI,INVERTER
SUNFLO-X0600C2,DAYLIFF SUNFLO-X 600C2 0.6kW PUMP C/W CONTROLLER,0,106000,DAYLIFF,SOLAR PUMP
SPS-3H,DAYLIFF 40W INTEGRATED STREET LIGHT C/W 6M POLE,0,105000,DAYLIFF,SOLAR FAB
SV2/075T,DAYLIFF SV2 7.5KW 3PH SUNVERTER,1,105000,DAYLIFF,SUNVERTER
SUNBARROW0600,DAYLIFF 600W SUNBARROW,0,102000,DAYLIFF,SUNBARROW
DSKIT-B0500,DAYLIFF SUNFLO-B 500C DUMMY,76,101000,ZMISC.,SOLAR
SBSH-0180/12,HOPPECKE 180Ah 12V SEALED SOLAR BATTERY,0,100000,HOPPECKE,BATTERY
DO2500,DAYLIFF OPTIVERTER DO2500 MULTIFUNCTION INVERTER INVERTER,50,99000,OPTI,INVERTER
DVS200,ULTRASUN UVT200 VACTUBE SOLAR HOT WATER SYSTEM,17,99000,SUNRAIN,SHW
GD3000TL,DAYLIFF GROWATT 3KVA 48VDC MULTIFUNCTION INVERTER,4,96000,DAYLIFF,GROWATT
OPC-SC50A,OPTI SC-50A 12-24VDC MPPT CHARGE CONTROLLER,0,95000,OPTI,CHARGE CON
SVB/075T,DAYLIFF SVB2 7.5KW 3PH SUNVERTER,30,95000,DAYLIFF,SUNVERTER
SMARTGUARD,HUAWEI SMARTGUARD 63A-SO 1PH BACKUP BOX,9,94000,HUAWEI,INVERTER
SMART-LOGGER,HUAWEI SMART LOGGER 3000A WITH 4G,13,88000,HUAWEI,ACCESSORY
CU200,GRUNDFOS CU 200 CONTROL UNIT,1,88000,GRUNDFOS,SOLAR ACCE
SUNFLEX750C2/2,SUNFLEX 750C2 MOTOR,0,88000,DAYLIFF,SOLAR PUMP
IO101,GRUNDFOS IO 101 SWITCH BOX,0,86000,GRUNDFOS,SOLAR ACCE
SUNFLO-X0500H1.6,DAYLIFF SUNFLO-X 500H1.6 0.5kW PUMP C/W CONTROLLER,1,86000,DAYLIFF,SOLAR PUMP
BOX-B1,HUAWEI BACK UP BOX B1 3PH,0,85000,HUAWEI,ACCESSORY
4TSS/1,CONTROLLER SUNFLO-B 1000C/DPSOLAR 1000,1,85000,DAYLIFF,DC CONTROL
DSKIT05,DAYLIFF SUNFLO-A 150H SOLAR PUMPING SYSTEM,2,85000,DAYLIFF,SOLAR PUMP
SP1800C,DAYLIFF SUNFLO-X 1800C PUMP C/W CONTROLLER,2,84000,DAYLIFF,SOLAR PUMP
SUNFLO-X0200H1,DAYLIFF SUNFLO-X 200H1 0.2kW PUMP C/W CONTROLLER,3,84000,DAYLIFF,SOLAR PUMP
DO1200,DAYLIFF OPTIVERTER DO1200 MULTIFUNCTION INVERTER,55,83000,OPTI,INVERTER
GD2000TL,DAYLIFF GROWATT 2000VA MULTIFUNCTION INVERTER,0,82000,DAYLIFF,GROWATT
SPM3-200,SUNFLO-X 200H1 PAYGO PUMP KIT-ASSEMBLY ONLY,31,82000,DAYLIFF,SOLAR PUMP
SVB/055T,DAYLIFF SVB2 5.5KW 3PH SUNVERTER,8,78000,DAYLIFF,SUNVERTER
DSI300/1,ULTRASUN 300L INDIRECT SOLAR HOT TANK ONLY,1,77000,ZMISC.,DAYLIFF
FL-POLE/2,6MTR STREET LIGHT POLE C/W BRACKET AND BATTERY BOX,0,77000,DAYLIFF,SOLAR FAB
DSKIT-S300B,DAYLIFF SUNFLO-S 300 ALL-IN-TWO PACK SOLAR KIT,112,77000,DAYLIFF,SOLAR PUMP
SBSH-1000/2,HOPPECKE 1000Ah 2V SEALED SOLAR BATTERY,0,75000,HOPPECKE,BATTERY
SCC-40A,STECA TAROM 4545 45A LCD 24VDC CHARGE CONTROLLER,7,75000,STECA,CHARGE CON
GD3000TL/24VDC,DAYLIFF GROWATT 3KVA 24VDC MULTIFUNCTION INVERTER,231,75000,DAYLIFF,GROWATT
SVB/040M,DAYLIFF SVB2 3.7KW 1PH SUNVERTER,11,75000,DAYLIFF,SUNVERTER
BOX-B0,HUAWEI BACK UP BOX B0 1PH,12,74000,HUAWEI,ACCESSORY
SUNFRIDGE55,DAYLIFF 55LITRES SUNFRIDGE ,42,73000,DAYLIFF,SUNFRIDGE
PVPROTECH-DC,PV PROTECT 1000VDC 125A,0,72000,LORENTZ,ACCESSORY
SMA-SI/1,ENERGY METER 3PH,1,71000,SMA,ACCESSORY
SBS-1200/2,DAYLIFF 1200Ah 2V SEALED SOLAR BATTERY,48,71000,CHAMPION,BATTERY
C23,ULTRASUN PRE 2.3M SOLAR COLLECTOR,54,71000,BURAL,SHW
SPM3-1500C8/1,CONTROLLER SUNFLO-X 1500C8  PAYGO-ASSEMBLY ONLY,0,71000,DAYLIFF,SOLAR PUMP
OPC-SC50C,OPTI SC-3KW MPPT CHARGE CONTROLLER,11,70000,OPTI,CHARGE CON
DUV-3024,DAYLIFF ULTRAVERTER 3KW 24V MULTIFUNCTION INVERTER,202,70000,DAYLIFF,INVERTER
DSKIT-S150,DAYLIFF SUNFLO-S 150 SOLAR PUMPING SYSTEM,0,68000,DAYLIFF,SOLAR PUMP
SV2/022M,DAYLIFF SV2 2.2KW 1PH SUNVERTER,1,68000,DAYLIFF,SUNVERTER
FP30,ULTRASUN 3.0M2 FLAT PLATE SOLAR COLLECTOR,39,66000,SUNRAIN,SHW
SUNFLEX1500C5-03,CONTROLLER SUNFLEX 1500,16,66000,DAYLIFF,SOLAR PART
SUNFLEX2200C9-03,CONTROLLER SUNFLEX 2200,16,66000,DAYLIFF,SOLAR PART
SUNFLEX750C2-03,CONTROLLER SUNFLEX 750,17,66000,DAYLIFF,SOLAR PART
SP0600H,DAYLIFF SUNFLO-X 600H PUMP C/W CONTROLLER,0,66000,DAYLIFF,SOLAR PUMP
SV2/015M,DAYLIFF SV2 1.5KW 1PH SUNVERTER,0,65000,DAYLIFF,SUNVERTER
SV2/037T,DAYLIFF SV2 3.7KW 3PH SUNVERTER,0,64000,DAYLIFF,SUNVERTER
SV2/037M,DAYLIFF SV2 3.7KW 1PH SUNVERTER,0,62000,DAYLIFF,SUNVERTER
IZI-2000,IZZY 2000W 12VDC INVERTER,0,61000,IZZY,INVERTER
SVB/040T,DAYLIFF SVB2 3.7KW 3PH SUNVERTER,44,60000,DAYLIFF,SUNVERTER
SUNFLEX1100C8-1,CONTROLLER SUNFLEX 1100C3,36,59400,DAYLIFF,SOLAR PART
FP24,ULTRASUN 2.4M2 FLAT PLATE SOLAR COLLECTOR,137,59000,SUNRAIN,SHW
DUV-2024,DAYLIFF ULTRAVERTER 2KW 24V MULTIFUNCTION INVERTER,216,58000,DAYLIFF,INVERTER
DHFS300 W/O,DHFS300 1.5KW IRRIGATION DC PUMP W/O CONTROLLER-ASSEMBLY ONLY,1,58000,DAYLIFF,SOLAR PUMP
WG-4/4,BLADE SET 200,0,58000,DAYLIFF,WIND PART
SUNFLEX750C2/1,SUNFLEX 750C2 SOLAR PUMP END,2,55600,DAYLIFF,SOLAR PUMP
SVB/022M,DAYLIFF SVB 2.2KW 1PH SUNVERTER,43,55000,DAYLIFF,SUNVERTER
SUNFLO-X0600C2/1,DAYLIFF SUNFLO-X 600C2 PAYGO 0.6kW CONTROLLER,0,54000,DAYLIFF,SOLAR PUMP
IZI-1500,IZZY 1500W 12VDC INVERTER,4,53000,IZZY,INVERTER
FP20,ULTRASUN 2.0M2 FLAT PLATE SOLAR COLLECTOR,34,51000,SUNRAIN,SHW
NDIB-80,DAYLIFF 80W 3.2V INTEGRATED SOLAR STREET LIGHT,4,50000,DAYLIFF,LIGHTING
SVB/015M,DAYLIFF SVB 1.5KW 1PH SUNVERTER,58,50000,DAYLIFF,SUNVERTER
SBS-0200/12,DAYLIFF 200Ah 12V SEALED SOLAR BATTERY,1047,49500,CHAMPION,BATTERY
SBS-0800/2,DAYLIFF 800Ah 2V SEALED SOLAR BATTERY,0,49500,CHAMPION,BATTERY
SWD160L/3,160L PIPE FITTINGS,0,48000,FAB,SUPPORT ST
BMV-712,BATTERY MONITOR BMV-712 SMART,0,46500,VICTRON,ACCESSORY
PSW3000,VISPRA 3000VA 48VDC INVERTER,0,46000,VISPRA,BACKUP
DSKIT-A150,DAYLIFF SUNFLO-A 150H DUMMY,77,45900,ZMISC.,SOLAR
D3SOLAR600H,DAYLIFF SUNFLO-A 600H SOLAR PUMP,1,44700,DAYLIFF,SOLAR PUMP
SUNFLO-B500CEF,DAYLIFF SUNFLO-B 500C4 SOLAR PUMP ,40,44000,DAYLIFF,SOLAR PUMP
DUV-1012,DAYLIFF ULTRAVERTER 1KW 12V MULTIFUNCTION INVERTER,203,43000,DAYLIFF,INVERTER
DHFS300-01,CONTROLLER DHFS300,0,42100,DAYLIFF,SOLAR PUMP
D4SOLAR1000C,DAYLIFF SUNFLO-B 1000C2 SOLAR PUMP,31,42000,DAYLIFF,SOLAR PUMP
D3SOLAR150H,DAYLIFF SUNFLO-A 150H SOLAR PUMP,24,41600,DAYLIFF,SOLAR PUMP
D3SOLAR270H,DAYLIFF SUNFLO-A 270H SOLAR PUMP,45,41600,DAYLIFF,SOLAR PUMP
FP17,ULTRASUN 1.7M2 FLAT PLATE SOLAR COLLECTOR,11,40500,SUNRAIN,SHW
C24,ULTRASUN PRE 2.4M SOLAR COLLECTOR,0,39000,ERASLAN,SHW
SUNSWITCH,SUN SWITCH LIGHT SENSOR,7,38800,LORENTZ,ACCESSORY
D3SOLAR120H,DAYLIFF SUNFLO-B 120H1 SOLAR PUMP,20,38000,DAYLIFF,SOLAR PUMP
D4SOLAR1300C,DAYLIFF SUNFLO-B2 1300C3 SOLAR PUMP,17,38000,DAYLIFF,SOLAR PUMP
SBS-0150/12,DAYLIFF 150Ah 12V SEALED SOLAR BATTERY,145,37900,CHAMPION,BATTERY
SWD320/3,320L PIPE  FITTINGS,0,37600,DAYLIFF,SUB ASSEMBLY
SUNFLO B 500C3-02,CONTROLLER SUNFLO-B 500C3,7,37400,DAYLIFF,SOLAR PART
4TSC2/1,CONTROLLER SUNFLO B 500C/DPSOLAR 600,2,36400,DAYLIFF,DC CONTROL
SUNFLO-B500/1,SUNFLO-B500C CONTROLLER ,1,36000,ZMISC.,SOLAR
MB-5000ES,GROWATT SPF 5000ES MAIN BOARD,0,35000,DAYLIFF,GROWATT
NDIB-60,DAYLIFF 60W 3.2V INTEGRATED SOLAR STREET LIGHT,12,35000,DAYLIFF,LIGHTING
D4SOLAR0800C,DAYLIFF SUNFLO-B2 800C3 SOLAR PUMP,36,35000,DAYLIFF,SOLAR PUMP
D3SOLAR500C,DAYLIFF SUNFLO-B 500C1 SOLAR PUMP,13,34000,DAYLIFF,SOLAR PUMP
BB-200AH,GRP 2NO. 200AH BATTERY BOX,0,33300,FG,SOLAR HOT
PSW2000,VISPRA 2000VA 24VDC INVERTER,0,33000,VISPRA,BACKUP
D4SOLAR0400C,DAYLIFF SUNFLO-B2 400C3 SOLAR PUMP,36,33000,DAYLIFF,SOLAR PUMP
SCC-30,STECA PR30A LCD CHARGE CONTROLLER,2,32900,STECA,CHARGE CON
SWD220/2,220S PIPE  FITTINGS,0,32100,DAYLIFF,SUB ASSEMBLY
NDIB-40,DAYLIFF 40W 3.2V INTEGRATED SOLAR STREET LIGHT,44,32000,DAYLIFF,LIGHTING
FL-POLE,6M INTEGRATED STREETLIGHT POLE,0,31400,DAYLIFF,SOLAR FAB
TPM-E,POWER EXPORT LIMITING METER 3PH,10,31100,DAYLIFF,ACCESSORY
IZI-1000,IZZY 1000W 12VDC INVERTER,27,30600,IZZY,INVERTER
220G,220L GALVANIZED 500*1200 TANK,1,30600,COMPONENT,WATER HEAT
YSM-535,DAYLIFF 545W MONOCRYSTALLINE SOLAR MODULE,1049,30520,AMERISOLAR,PV MODULE
YSM-535Y,DAYLIFF YINGLI 545W MONOCRYSTALLINE SOLAR MODULE,23,30520,YINGLI,PV MODULE
NDIB-30,DAYLIFF 30W 3.2V INTEGRATED SOLAR STREET LIGHT,33,30000,DAYLIFF,LIGHTING
SOLART-SAMPLE04,SOLAR PUMPING INVERTER SVB/5.5T,1,30000,ZMISC.,SAMPLE
SWD320/2,320S PIPE  FITTINGS,0,29600,DAYLIFF,SUB ASSEMBLY
DSV200/1,INSTALLATION ACCESSORIES 200L VACUUM TUBE,0,28600,DAYLIFF,SHW
SPM-E,POWER EXPORT LIMITING METER 1PH,6,28000,DAYLIFF,ACCESSORY
DDWS220,DAYLIFF DDWS220 0.22kW 24V DC SUBMERSIBLE PUMP,3,28000,DAYLIFF,SOLAR PUMP
SUNFLO300,DAYLIFF SUNFLO-S 300 S/S SOLAR PUMP,197,27300,DAYLIFF,SOLAR PUMP
OPC-SC50B,OPTI SC-40A PWM 12/24VDC LCD CHARGE CONTROLLER,2,27200,OPTI,CHARGE CON
ESDMINI,DUMMY MINI SOLAR SYSTEM/DISPLAY,16,25700,ZMISC.,EZINC
SBS-0100/12,DAYLIFF 100Ah 12V SEALED SOLAR BATTERY,213,25600,CHAMPION,BATTERY
SBS-0400/2,DAYLIFF 400Ah 2V SEALED SOLAR BATTERY,12,25600,CHAMPION,BATTERY
SP POLE,"DAYLIFF 20W 6M STREETLIGHT POLE C/W 2"" GI PIPE",0,25000,DAYLIFF,SOLAR FAB
DPP-125,DAYLIFF PV PROTECT 1000VDC 125A,60,24700,DAYLIFF,CONTROL
PVCOMBI-4,DAYLIFF 4ST 1000V/125A PV COMBINER BOX,19,24300,DAYLIFF,CONTROL
SWD220/4,220L GALVANIZED FRAME,1,24300,DAYLIFF,SUB ASSEMBLY
SC1,ECO-SOLAR SR81 AC CONTROLLER,9,24000,SUNRAIN,ACCESSORY
SC-2,ECO-SOLAR SR81 DC CONTROLLER,6,24000,SUNRAIN,ACCESSORY
NDI-20,DAYLIFF 20W INTEGRATED MINI SOLAR STREET LIGHT,78,23700,DAYLIFF,LIGHTING
SF200CU,DAYLIFF SUNFLEX CONTROLLER,5,23300,DAYLIFF,SO CONTROL
SUNFLEX750C,DAYLIFF SUNFLEX 750C2 DUMMY,19,22000,ZMISC.,DAYLIFF
SCC-30B,STECA PRS30A CHARGE CONTROLLER,7,20700,STECA,CHARGE CON
PVDISC-5,DAYLIFF PVDISC1000/40A 4ST PV DISCONNECT SWITCH,274,20400,DAYLIFF,CONTROL
TR-550M,TRINA 550W 49.8V VOC MONOCRYSTALLINE SOLAR MODULE,302,20000,TRINA,PV MODULE
SPM3-S001,DM-CR-Q QUECTEL MODULE WITH SUPPORT BOARD,9,20000,DAYLIFF,SOLAR PART
SPM3-S002,DM-CR-PM OLD MODULE WITH SUPPORT BOARD,9,20000,DAYLIFF,SOLAR PART
IZI-0600,IZZY 600W 12VDC INVERTER,53,19000,IZZY,INVERTER
FL-POLE/1,FOUNDATION ASSEMBLY FOR STUCTURE POLES,0,18800,DAYLIFF,SOLAR FAB
SWD320/5,320S GALVANIZED FRAME,0,18800,DAYLIFF,SUB ASSEMBLY
TR-665M,TRINA 665W 45.9V VOC  MONOCRYSTALLINE SOLAR MODULE,1076,18700,TRINA,PV MODULE
TR-660M,TRINA 660W 45.7V VOC MONOCRYSTALLINE SOLAR MODULE,251,18600,TRINA,PV MODULE
PSW1000,VISPRA 1000VA 12VDC INVERTER,5,17500,VISPRA,BACKUP
PVDISC-2,DAYLIFF PVDISC1000/16A 2ST PV DISCONNECT SWITCH,223,16700,DAYLIFF,CONTROL
DDPS60,DAYLIFF DDPS60 0.37kW 24VDC SOLAR PUMP,51,16200,DAYLIFF,SOLAR PUMP
SCC-20,STECA PRS20A CHARGE CONTROLLER,41,16000,STECA,CHARGE CON
ASM-340,DAYLIFF 340W POLYCRYSTALLINE SOLAR MODULE ,1,15980,DAYLIFF,PV MODULE
TDC,SOLAR THERMAL SR609 AC CONTROLLER,70,15700,SUNRAIN,ACCESSORY
ASM-400,DAYLIFF 410W MONOCRYSTALLINE SOLAR MODULE,18,15580,AMERISOLAR,PV MODULE
DDPS50,DAYLIFF DDPS50 0.22kW 12VDC SOLAR PUMP,36,15100,DAYLIFF,SOLAR PUMP
SPS-3K,"DAYLIFF 6M STREETLIGHT POLE C/W 2"" GI PIPE",0,15000,DAYLIFF,SOLAR FAB
TSM-200N,DAYLIFF 200W 24VDC CRYSTALLINE SOLAR MODULE 1327*990,6,14200,TOPRAY,PV MODULE
IO050,GRUNDFOS IO 50 SWITCH BOX,0,14200,GRUNDFOS,SOLAR ACCE
OPC-SC20,OPTI SC-SM 20A 12VDC CHARGE CONTROLLER,26,14000,OPTI,CHARGE CON
SC-208C,SOLAR CWS AC CONTROLLER SR208C,0,13900,SUNRAIN,ACCESSORY
PVDISC-1/63A,DAYLIFF PVDISC1000/63A 1ST PV DISCONNECT SWITCH,2,13300,DAYLIFF,CONTROL
SWD220/5,220S GALVANIZED FRAME,0,13200,DAYLIFF,SUB ASSEMBLY
SMART-POWER,HUAWEI SMART POWER SENSOR 250A 3PH,4,12300,HUAWEI,ACCESSORY
DSH300-01,PIPE CONNECTORS UVR300,6,12000,ZMISC.,SUNRAIN
DVS200/1,PRESSURE FEEDING TANK UVT200 8L,22,11800,SUNRAIN,COMPONENT
PVDISC-1/16A,DAYLIFF PVDISC1000/16A 1ST PV DISCONNECT SWITCH,19,11600,DAYLIFF,CONTROL
IZI-0350,IZZY 350W 12VDC INVERTER,48,11600,IZZY,INVERTER
NDI-10,DAYLIFF 10W INTEGRATED MINI SOLAR STREET LIGHT,152,11600,DAYLIFF,LIGHTING
SMART-POWER/M,HUAWEI SMART POWER SENSOR 100A 1PH,0,11500,HUAWEI,ACCESSORY
SUN2000-1100W,HUAWEI 1100W SMART PV OPTIMIZER,0,11100,HUAWEI,ACCESSORY
ESI300/2,FLAT ROOF MOUNTING SET 2*ST230 COLLECTOR,15,10654,BURAL,SHW
PVDISC-1/25A,DAYLIFF PVDISC1000/25A 1ST PV DISCONNECT SWITCH,18,10200,DAYLIFF,CONTROL
LO-350M,LONGI 350W 40.4VOC MONOCRYSTALLINE SOLAR MODULE,170,9600,DAYLIFF,PV MODULE
ESI300/3,INSULATED HOSES ASSEMBLY UFX300I,0,9500,BURAL,SHW
YSM-300,DAYLIFF 335W CRYSTALLINE SOLAR MODULE,26,9380,AMERISOLAR,PV MODULE
SBS-035/12,DAYLIFF 35AH 12V SEALED SOLAR BATTERY,17,9000,DAYLIFF,BATTERY
WG-4/6,NOSE CONE 100/200,0,8800,DAYLIFF,WIND PART
SMART-DONGLE,HUAWEI SMART DONGLE WLAN-FE,17,8700,HUAWEI,ACCESSORY
SUN2000-450W,HUAWEI SUN 2000-450W SMART PV OPTIMIZER ,156,8200,HUAWEI,ACCESSORY
OPC-SC10,OPTI SC-SM 10A 12VDC CHARGE CONTROLLER,12,8000,OPTI,CHARGE CON
DSD150/11,UFS150/200 INSULATED HOSES ACCESSORIES,9,8000,ZMISC.,SUNRAIN
YSM-280,DAYLIFF 280W POLYCRYSTALLINE SOLAR MODULE,503,7840,AMERISOLAR,PV MODULE
TSM-200,DAYLIFF 200W 24VDC CRYSTALLINE SOLAR MODULE,847,7800,TOPRAY,PV MODULE
IPOWER-CUBE,HUAWEI IPOWERCUBE-M BASE,75,7200,HUAWEI,ACCESSORY
TSM-150,DAYLIFF 160W 24VDC CRYSTALLINE SOLAR MODULE,23,7200,TOPRAY,PV MODULE
TSM-150N,DAYLIFF 150W 24VDC CRYSTALLINE SOLAR MODULE,202,7200,TOPRAY,PV MODULE
DSD300/3,UFS300D SOLAR WATER HEATER INSULATED HOSES ,59,7120,ZMISC.,SUNRAIN
DUV-WIFI,DAYLIFF ULTRAVERTER WIFI KIT,37,6400,DAYLIFF,ACCESSORY
AG150/1,HEATER 3KW BURAL,15,5800,BURAL,ACCESSORY
YSM-120U,DAYLIFF 125W 12V CRYSTALLINE SOLAR MODULE,4,5625,TOPRAY,PV MODULE
AG150/5,HEATER C/W THERMOSTAT 3KW LOCAL,52,5100,DAYLIFF,ACCESSORY
FPS/1,HEATING ELEMENT 2.4KW C/W THERMOSTAT,33,5100,SUNRAIN,COMPONENT
CPLI-4875AH/1,BMS CARD CHAMPION LITHIUM ION BATTERIES,4,5000,CHAMPION,BATTERY
DSD300/4,FRAMES UFS300D,25,5000,ZMISC.,SUNRAIN
WIFI-X,SHINE WIFI-X JFY REMOTE MONITORING DEVICE,16,4700,DAYLIFF,ACCESSORY
TP-125M,DAYLIFF 125W 12V MONOCRYSTALLINE SOLAR MODULE,52,4375,DAYLIFF,PV MODULE
WLS,WATER LEVEL SWITCH,52,4100,DAYLIFF,DC CONTROL
HPW200-02,CONTROLLER HPW200/HPW300,7,4000,SUNRAIN,HEATING
AG150/2,THERMOSTAT PRE,13,3100,BURAL,ACCESSORY
D3SP1-14D,DAYLIFF D3SP1-14 DUMMY,78,3100,ZMISC.,DAYLIFF
TP-085M,DAYLIFF 85W 12V MONOCRYSTALLINE SOLAR MODULE,234,3060,DAYLIFF,PV MODULE
YSM-010/1,MC4 MULTIBRANCH PV CONNECTOR SET - PARALLEL,279,3000,TOPRAY,PV MODULE
DCC-010,DAYLIFF 10A CHARGE CONTROLLER,6,3000,DAYLIFF,SOLAR PART
DSD300/5,UFS300D TANK BRACKETS,11,3000,ZMISC.,SUNRAIN
SV3-01,FAN SV3,0,2500,DAYLIFF,SUNVERTER
DSH300/1,HEAT PIPE SPARE TUBE UVR,104,2400,ZMISC.,SOLAR
DSD150/7,NON RETURN VALVE,2,1000,SUNRAIN,ACCESSORY
