No.,Description,Quantity, Unit Price ,Item Category Code,Product Model
NSP-EC-NF2-25,END CLAMP KIT 25MM GM,88,50,DAYLIFF,SUPPORT ST
NSP-EC-NF2-31,END CLAMP KIT 31MM GM,177,5,DAYLIFF,SUPPORT ST
NSP-EC-NF3-31,END CLAMP KIT 31MM GM,118,50,DAYLIFF,SUPPORT ST
NSP-EC-NF3-40,END CLAMP KIT 40MM -ROOF SYSTEM,12,4,DAYLIFF,SUPPORT ST
NSP-F76B1,GROUND SCREW,34,610,DAYLIFF,SUPPORT ST
NSP-G-GC,GROUNDING CLIP,10,1,DAYLIFF,SUPPORT ST
NSP-HB-1080,HEX HEAD BOLT SET M10X80,236,4,DAYLIFF,SUPPORT ST
NSP-HB1-1240,HEX HEAD BOLT SET M12X40,197,5,DAYLIFF,SUPPORT ST
NSP-HB3-1090,BOLT SPARE PARTS M10X90,38,10,DAYLIFF,SUPPORT ST
NSP-IC-F-31,INNER CLAMP KIT 31MM,264,40,DAYLIFF,SUPPORT ST
NSP-IC-F-35A,INNER CLAMP KIT 35MM- ROOF SYSTEM,0,50,DAYLIFF,SUPPORT ST
NSP-IC-F-40,INNER CLAMP KIT 40MM,0,130,DAYLIFF,SUPPORT ST
NSP-IC-NF-25,INNER CLAMP KIT 25MM,114,50,DAYLIFF,SUPPORT ST
NSP-IC-NF-31,INNER CLAMP KIT 31MM,3,4,DAYLIFF,SUPPORT ST
NSP-IC-NF-35,INNER CLAMP KIT 35MM,2,40,DAYLIFF,SUPPORT ST
NSP-R01-6000,STANDARD RAIL 6000MM,2,1510,DAYLIFF,SUPPORT ST
NSP-R01-SPK,STANDARD RAIL SPLICE KIT ROOF MOUNT,95,90,DAYLIFF,SUPPORT ST
NSP-STB-6325,SCREW RAIL SPLICE KIT GROUND,472,1,DAYLIFF,SUPPORT ST
TSSM12-50,"TAIFU TSSM 1.2-50 CS 0.37kW 3"" PUMP",0, -   ,ZMISC.,TAIFU
VQ080,VICTRON QUATTRO 8000VA 48VDC INVERTER,3,668000,ZMISC.,VICTRON
VQ100,VICTRON QUATTRO 10000VA 48VDC INVERTER,2,800000,ZMISC.,VICTRON
VSI-MK3,SOLAR INTERFACE MK3-USB (VE.Bus to USB),0, -   ,ZMISC.,VICTRON
NE-0400/12,DAYLIFF WIND TURBINE NE400-12 C/W CONTROLLER,0,135000,DAYLIFF,WIND GENER
